#,Комнат,Район города,Адрес,Этаж,Общ,Жил,Кух,М,Тел,Примечания,Цена
230,1,Московский,5 Предпортовый прд. 10 к. 1,11/18,37.5,19.5,10.2,Московская,740-70-40,1-16432 Новый монолитный,4700.0
231,1,Московский,Московский пр.,8/18,42.9,20.9,9.2,Московская 5 пеш,339-08-08,Акция! Подчист. отделка!,4700.0
232,1,Московский,Костюшко 15 к. 3А,10/18,25.8,15.0,5.0,Московская 10 пеш,249-10-10,евро отделка!!!,3550.0
233,1,Московский,Костюшко 15 к. 3А,18/18,35.0,17.1,8.7,Московская 10 пеш,300-77-00,8 921 577 33 08 Наталья.,4550.0
234,1,Московский,Кузнецовская / Ю. Гагар,11/18,44.8,14.6,18.7,Парк Победы 10 пеш,335-55-55,www.elita-spb.ru,9065.0
238,1,Московский,Юрия Гагарина пр. 14 к. 6,18/19,38.0,15.0,9.0,Парк Победы 15 пеш,380-14-00,"9434316, прямая продажа",5800.0
239,1,Московский,Московское ш.,6/19,34.0,15.0,11.0,Звездная 5 тр,942-59-02,балкон рядом школа н дом,3200.0
240,1,Московский,Московское ш. 272,2/19,29.9,14.0,9.1,Звездная,575-85-75,"Л11561,дом готов!срочно!",2700.0
241,1,Московский,Московский пр. 94,2/19,43.0,20.0,12.0,Фрунзенская 2 пеш,315-00-55,"89119538716,сдан!ключи!",5290.0
242,1,Московский,Московский пр. 65 к. 2,16/19,40.3,17.1,9.0,Фрунзенская 5 пеш,903-47-97,"У метро, предчистовая отд",5200.0
243,1,Московский,Киевская ул. 3 к. А,10/19,40.8,20.0,13.3,Фрунзенская 5 пеш,740-70-40,1-17890 сданппб/оторг,6900.0
244,1,Московский,Киевская ул. 1,3/19,47.9,24.3,13.3,Фрунзенская 7 пеш,700-50-00,7005005 новый ДОМ ипотека,6500.0
245,1,Московский,Дунайский пр. 7 к. 7,2/19,27.0,16.0,0.0,Звездная 5 пеш,461-44-44,"ПП 9805008 п/у,сдан,ключи",3630.0
246,1,Московский,5 Предпортовый прд. 12 к. 2,16/19,32.0,25.0,0.0,Московская 5 ост,(921)326-7410,НД. Дор.Рем. Меб. Док.гот,3990.0
247,1,Московский,Московское ш. 16,17/19,41.4,20.0,10.8,Звездная 5 пеш,325-38-38,89119485108 п/уст,4450.0
248,1,Московский,Дунайский пр. 7,16/19,26.9,14.1,5.1,Звездная 15 пеш,335-55-55,www.spbrealty.ru,3800.0
249,1,Московский,Пулковское ш. 40,8/20,32.0,15.3,8.3,Московская 10 тр,677-00-01,тел89218736636 Юлия ПУ,3500.0
250,1,Московский,Московское ш.,11/20,46.0,20.0,13.0,Купчино,642-98-35,"L28260,сдан лоджия",3380.0
251,1,Московский,Московское ш. 48,11/20,45.0,20.0,12.0,Купчино,642-98-35,"Л3780,частич.отд сдан",3300.0
252,1,Московский,Космонавтов пр. 63 к. 1,10/20,39.0,19.0,12.0,Звездная 15 пеш,970-37-41,ПП соб ЖК Гранд Фамилия,6850.0
253,1,Московский,Киевская ул. 3,6/20,43.0,18.0,11.0,Фрунзенская 5 пеш,(921)301-1857,пп,6500.0
254,1,Московский,Дунайский пр. 28 к. 2,14/20,39.7,18.7,8.3,Звездная 10 пеш,(921)946-0162,"ПП, б.3-х лет. Евро. Можн",5300.0
255,1,Московский,Варшавская ул. 19 к. 5,10/20,28.0,15.0,0.0,Электросила 5 пеш,600-46-46,"ПП,своб. 938-23-29 Елена",3888.0
256,1,Московский,Московское ш.,0/20,35.5,16.1,9.4,Звездная,336-03-36,0 % рассрочка до июля 201,3470.0
257,1,Московский,Московское ш.,0/20,24.3,15.4,0.0,Звездная,336-03-36,0% рассрочка до августа 2,2261.0
258,1,Московский,Витебский пр.,7/20,38.0,18.0,10.0,Купчино 3 тр,642-98-35,"Л731,б/отд балкон",2100.0
259,1,Московский,Пулковская ул. 8 к. 2,21/21,26.0,18.0,0.0,Звездная 5 пеш,(931)578-3118,"ПП, ОС, Л",4000.0
260,1,Московский,Пулковская ул. 8 к. 2,2/21,26.0,17.0,5.0,Звездная 10 пеш,(901)301-4352,"Пр. Пр, студия",3600.0
261,1,Московский,Пулковская ул. 8 к. 2,2/21,25.7,20.0,0.0,Звездная,600-03-94,,3500.0
262,1,Московский,Московское ш. 48,6/21,43.0,19.0,11.0,Купчино,642-98-35,"Л3777,нов.дом заселение",3000.0
263,1,Московский,5 Предпортовый прд. 1,15/21,34.0,17.9,9.3,Московская 15 пеш,(911)230-6042,"ПП,ХС, ДГ, 2010 г п",4600.0
264,1,Московский,Пулковское / Дунайский,10/21,36.0,16.0,9.0,Звездная 10 пеш,642-94-77,"п/у, Л3м",3250.0
270,1,Московский,Юрия Гагарина пр. 7,12/22,32.0,24.0,8.0,Парк Победы 10 пеш,(921)315-7506,"ПП, собств, б/о",5499.0
271,1,Московский,Юрия Гагарина пр. 7,10/22,47.0,18.0,13.2,Парк Победы 10 пеш,(921)955-1387,ЖК Космос,8750.0
272,1,Московский,Московский пр. 207,16/22,28.4,15.3,5.0,Московская 10 пеш,322-52-00,"Свободна,вид(921)7965597",4100.0
273,1,Московский,Кузнецовская / Ю. Гагар,9/22,42.7,18.0,13.2,Парк Победы 10 пеш,335-55-55,кв-ры от застройщика,8750.0
274,1,Московский,Пулковское ш. 38 к. 7,6/23,40.5,18.0,10.0,Звездная,934-86-43,,4150.0
275,1,Московский,Орджоникидзе ул.,6/23,33.0,0.0,0.0,Московская 10 пеш,(952)214-9767,ПУ ключи-июнь зЛ,2200.0
276,1,Московский,Московское ш. 9,7/23,43.0,19.0,12.0,Купчино 5 пеш,642-98-35,"Л3778,дом сдан частич.отд",3100.0
277,1,Московский,Московское ш. 9,17/23,47.0,22.0,13.0,Купчино,642-98-35,"Л3779,сдан частич.отд",3200.0
278,1,Московский,Смоленская ул. 18-20,15/23,23.5,23.5,0.0,Фрунзенская 10 пеш,380-33-10,8-921-936-30-31 Звоните!,3350.0
279,1,Московский,Пулковское ш.,16/23,27.1,0.0,0.0,Звездная 12 пеш,904-18-00,,3427.0
280,1,Московский,"Пулковское ш. , уч. 1",6/23,26.9,14.1,5.1,Звездная 15 пеш,600-49-84,Отделка! Звоните 8 921,3910.0
281,1,Московский,Пулковское / Дунайский,18/23,36.3,10.9,13.9,Звездная,333-90-90,"вид на парк, отделка под",3400.0
282,1,Московский,Пулковское / Дунайский,18/23,24.5,24.5,0.0,Звездная,333-90-90,"вид на Парк, отделка",2410.0
283,1,Московский,Пулковское / Дунайский,18/23,36.1,10.9,13.9,Звездная,333-90-90,"вид на Парк, отделка, меб",3400.0
284,1,Московский,Космонавтов пр.,18/23,28.0,12.0,8.0,Звездная,643-55-57,9665121 Акция в постр дом,2800.0
285,1,Московский,Дунайский пр. 7,8/23,26.9,14.6,5.8,Звездная 15 пеш,335-55-55,www.spbrealty.ru,3444.0
286,1,Московский,Дунайский пр. 7 к. 7,2/23,27.0,27.0,0.0,Звездная 15 пеш,461-44-44,"ПП 980-50-08 евро,ключи",3680.0
289,1,Московский,Пулковское ш.,6/24,39.0,18.0,10.0,Звездная 5 тр,(921)942-1207,Новый. Летний. Ключи ПУ,4150.0
290,1,Московский,Пулковское ш. 38,6/24,38.5,17.0,10.0,Звездная 5 тр,934-86-43,"нов, б/о, п/у, двор,юг",3999.0
291,1,Московский,Пулковское ш. 38,18/24,40.0,18.0,0.0,Московская 10 тр,(921)959-0016,"9590016, новый ЖК, Вид.",4570.0
292,1,Московский,Пулковское ш. 38,17/24,42.0,18.0,10.0,Звездная 20 пеш,932-46-41,"Ключи,гардеробная,комната",4050.0
293,1,Московский,Пулковское ш. 36,24/24,34.7,15.2,8.6,Звездная,325-38-38,89110353990 Переуст б/отд,3500.0
294,1,Московский,Пулковское ш. 36,10/24,38.5,18.5,9.0,Московская 5 тр,(904)515-3796,"ПП,ДГ,без отделки",4300.0
295,1,Московский,Пулковское ш. 36/4,2/24,31.5,16.0,8.1,Московская 10 тр,(965)758-4051,"пп,собств,евро,менее 3х",4200.0
296,1,Московский,Пулковская ул. 8,14/24,44.0,18.0,13.0,Звездная 3 пеш,327-86-80,89675331647 ПП ОТЛ.рем,7300.0
297,1,Московский,Пулковская ул. 8 к. 1,12/24,45.0,18.0,12.0,Звездная 5 пеш,740-70-40,1-18086 89214383420 ПП,6500.0
298,1,Московский,Пулковская ул. 6 к. 2,1/24,27.0,15.0,6.5,Звездная 5 пеш,(906)269-2919,парков студ-2ок ПП д/г 3г,3500.0
299,1,Московский,Пулковская ул. 6 к. 2,19/24,27.0,0.0,0.0,Звездная 5 пеш,(911)703-0689,ПП застл евро меб техн,3700.0
